AGE,B,RM,CRIM,DIS,INDUS,LSTAT,NOX,PTRATIO,RAD,ZN,TAX,CHAS,Target
24.8,395.52,7.923,0.01501,5.885,1.21,3.16,0.401,13.6,1,90,198,1,50
20.8,394.72,7.088,0.00906,7.3073,2.97,7.85,0.4,15.3,1,90,285,0,32.2
31.9,394.72,6.453,0.01096,7.3073,2.25,8.23,0.389,15.3,1,55,300,0,22
31.5,341.6,6.23,0.01965,9.0892,1.76,12.93,0.385,18.2,1,80,241,0,20.1
31.3,396.9,6.209,0.03871,7.3172,5.32,7.14,0.405,16.6,6,52.5,293,0,23.2
45.6,396.9,6.315,0.0459,7.3172,5.32,7.6,0.405,16.6,6,52.5,293,0,22.3
22.9,371.72,6.565,0.04297,7.3172,5.32,9.51,0.405,16.6,6,52.5,293,0,24.8
27.9,396.9,6.861,0.03502,5.1167,4.95,3.33,0.411,19.2,4,80,245,0,28.5
27.7,396.9,7.148,0.07886,5.1167,4.95,3.56,0.411,19.2,4,80,245,0,37.3
23.4,396.9,6.63,0.03615,5.1167,4.95,4.7,0.411,19.2,4,80,245,0,27.9
18.4,396.9,6.127,0.08265,5.5027,13.92,8.58,0.437,16,4,0,289,0,23.9
42.3,396.9,6.009,0.08199,5.5027,13.92,10.4,0.437,16,4,0,289,0,21.7
31.1,396.9,6.678,0.12932,5.9604,13.92,6.27,0.437,16,4,0,289,0,28.6
51,392.85,6.549,0.05372,5.9604,13.92,7.39,0.437,16,4,0,289,0,27.1
58,396.9,5.79,0.14103,6.32,13.92,15.84,0.437,16,4,0,289,0,20.3
20.1,368.24,6.345,0.06466,7.8278,2.24,4.97,0.4,14.8,5,70,358,0,22.5
10,371.58,7.041,0.05561,7.8278,2.24,4.74,0.4,14.8,5,70,358,0,29
47.4,390.86,6.871,0.04417,7.8278,2.24,6.07,0.4,14.8,5,70,358,0,24.8
40.4,395.75,6.59,0.03537,5.4917,6.09,9.5,0.433,16.1,7,34,329,0,22
18.4,383.61,6.495,0.09266,5.4917,6.09,8.67,0.433,16.1,7,34,329,0,26.4
17.7,390.43,6.982,0.1,5.4917,6.09,4.86,0.433,16.1,7,34,329,0,33.1
41.1,393.68,7.236,0.05515,4.022,2.18,6.93,0.472,18.4,7,33,222,0,36.1
58.1,393.36,6.616,0.05479,3.37,2.18,8.93,0.472,18.4,7,33,222,0,28.4
71.9,396.9,7.42,0.07503,3.0992,2.18,6.47,0.472,18.4,7,33,222,0,33.4
70.3,396.9,6.849,0.04932,3.1827,2.18,7.53,0.472,18.4,7,33,222,0,28.2
82.5,396.9,6.635,0.49298,3.3175,9.9,4.54,0.544,18.4,4,0,304,0,22.8
76.7,396.24,5.972,0.3494,3.1025,9.9,9.97,0.544,18.4,4,0,304,0,20.3
37.8,350.45,4.973,2.63548,2.5194,9.9,12.64,0.544,18.4,4,0,304,0,16.1
52.8,396.9,6.122,0.79041,2.6403,9.9,5.98,0.544,18.4,4,0,304,0,22.1
90.4,396.3,6.023,0.26169,2.834,9.9,11.72,0.544,18.4,4,0,304,0,19.4
82.8,393.39,6.266,0.26938,3.2628,9.9,7.9,0.544,18.4,4,0,304,0,21.6
87.3,395.69,6.567,0.3692,3.6023,9.9,9.28,0.544,18.4,4,0,304,0,23.8
77.7,396.42,5.705,0.25356,3.945,9.9,11.5,0.544,18.4,4,0,304,0,16.2
83.2,390.7,5.914,0.31827,3.9986,9.9,18.33,0.544,18.4,4,0,304,0,17.8
71.7,396.9,5.782,0.24522,4.0317,9.9,15.94,0.544,18.4,4,0,304,0,19.8
67.2,395.21,6.382,0.40202,3.5325,9.9,10.36,0.544,18.4,4,0,304,0,23.1
58.8,396.23,6.113,0.47547,4.0019,9.9,12.73,0.544,18.4,4,0,304,0,21
52.3,396.9,6.426,0.1676,4.5404,7.38,7.2,0.493,19.6,5,0,287,0,23.8
54.3,396.9,6.376,0.18159,4.5404,7.38,6.87,0.493,19.6,5,0,287,0,23.1
49.9,396.9,6.041,0.35114,4.7211,7.38,7.7,0.493,19.6,5,0,287,0,20.4
74.3,391.13,5.708,0.28392,4.7211,7.38,11.74,0.493,19.6,5,0,287,0,18.5
40.1,396.9,6.415,0.34109,4.7211,7.38,6.12,0.493,19.6,5,0,287,0,25
14.7,393.68,6.431,0.19186,5.4159,7.38,5.08,0.493,19.6,5,0,287,0,24.6
28.9,396.9,6.312,0.30347,5.4159,7.38,6.15,0.493,19.6,5,0,287,0,23
43.7,396.9,6.083,0.24103,5.4159,7.38,12.79,0.493,19.6,5,0,287,0,22.2
25.8,382.44,5.868,0.06617,5.2146,3.24,9.97,0.46,16.9,4,0,430,0,19.3
17.2,375.21,6.333,0.06724,5.2146,3.24,7.34,0.46,16.9,4,0,430,0,22.6
32.2,368.57,6.144,0.04544,5.8736,3.24,9.09,0.46,16.9,4,0,430,0,19.8
28.4,394.02,5.706,0.05023,6.6407,6.06,12.43,0.4379,16.9,1,35,304,0,17.1
23.3,362.25,6.031,0.03466,6.6407,6.06,7.83,0.4379,16.9,1,35,304,0,19.4
38.1,389.71,6.316,0.05083,6.4584,5.19,5.68,0.515,20.2,5,0,224,0,22.2
38.5,389.4,6.31,0.03738,6.4584,5.19,6.75,0.515,20.2,5,0,224,0,20.7
34.5,396.9,6.037,0.03961,5.9853,5.19,8.01,0.515,20.2,5,0,224,0,21.1
46.3,396.9,5.869,0.03427,5.2311,5.19,9.8,0.515,20.2,5,0,224,0,19.5
59.6,394.81,5.895,0.03041,5.615,5.19,10.56,0.515,20.2,5,0,224,0,18.5
37.3,396.14,6.059,0.03306,4.8122,5.19,8.51,0.515,20.2,5,0,224,0,20.6
45.4,396.9,5.985,0.05497,4.8122,5.19,9.74,0.515,20.2,5,0,224,0,19
58.5,396.9,5.968,0.06151,4.8122,5.19,9.29,0.515,20.2,5,0,224,0,18.7
49.3,394.74,7.241,0.01301,7.0379,1.52,5.49,0.442,15.5,1,35,284,0,32.7
59.7,389.96,6.54,0.02498,6.2669,1.89,8.65,0.518,15.9,1,0,422,0,16.5
56.4,396.9,6.696,0.02543,5.7321,3.78,7.18,0.484,17.6,5,55,370,0,23.9
28.1,387.97,6.874,0.03049,6.4654,3.78,4.61,0.484,17.6,5,55,370,0,31.2
48.5,385.64,6.014,0.03113,8.0136,4.39,10.53,0.442,18.8,3,0,352,0,17.5
52.3,364.61,5.898,0.06162,8.0136,4.39,12.67,0.442,18.8,3,0,352,0,17.2
27.7,392.43,6.516,0.0187,8.5353,4.15,6.36,0.429,17.9,4,85,351,0,23.1
29.7,390.94,6.635,0.01501,8.344,2.01,5.99,0.435,17,4,80,280,0,24.5
34.5,389.85,6.939,0.02899,8.7921,1.25,5.89,0.429,19.7,1,40,335,0,26.6
44.4,396.9,6.49,0.06211,8.7921,1.25,5.98,0.429,19.7,1,40,335,0,22.9
35.9,370.78,6.579,0.0795,10.7103,1.69,5.49,0.411,18.3,4,60,411,0,24.1
18.5,392.33,5.884,0.07244,10.7103,1.69,7.79,0.411,18.3,4,60,411,0,18.6
36.1,384.46,6.728,0.01709,12.1265,2.02,4.5,0.41,17,5,90,187,0,30.1
21.9,382.8,5.663,0.04301,10.5857,1.91,8.05,0.413,22,4,80,334,0,18.2
19.5,376.04,5.936,0.10659,10.5857,1.91,5.57,0.413,22,4,80,334,0,20.6
97.4,377.73,6.212,8.98296,2.1222,18.1,17.6,0.77,20.2,24,0,666,1,17.8
91,391.34,6.395,3.8497,2.5052,18.1,13.27,0.77,20.2,24,0,666,1,21.7
83.4,395.43,6.127,5.20177,2.7227,18.1,11.48,0.77,20.2,24,0,666,1,22.7
81.3,390.74,6.112,4.26131,2.5091,18.1,12.67,0.77,20.2,24,0,666,0,22.6
88,374.56,6.398,4.54192,2.5182,18.1,7.79,0.77,20.2,24,0,666,0,25
91.1,350.65,6.251,3.83684,2.2955,18.1,14.19,0.77,20.2,24,0,666,0,19.9
96.2,380.79,5.362,3.67822,2.1036,18.1,10.19,0.77,20.2,24,0,666,0,20.8
89,353.04,5.803,4.22239,1.9047,18.1,14.64,0.77,20.2,24,0,666,1,16.8
82.9,354.55,8.78,3.47428,1.9047,18.1,5.29,0.718,20.2,24,0,666,1,21.9
87.9,354.7,3.561,4.55587,1.6132,18.1,7.12,0.718,20.2,24,0,666,0,27.5
91.4,316.03,4.963,3.69695,1.7523,18.1,14,0.718,20.2,24,0,666,0,21.9
100,131.42,3.863,13.5222,1.5106,18.1,13.33,0.631,20.2,24,0,666,0,23.1
100,375.52,4.97,4.89822,1.3325,18.1,3.26,0.631,20.2,24,0,666,0,50
96.8,375.33,6.683,5.66998,1.3567,18.1,3.73,0.631,20.2,24,0,666,1,50
97.5,392.05,7.016,6.53876,1.2024,18.1,2.96,0.631,20.2,24,0,666,1,50
100,366.15,6.216,9.2323,1.1691,18.1,9.53,0.631,20.2,24,0,666,0,50
89.6,347.88,5.875,8.26725,1.1296,18.1,8.88,0.668,20.2,24,0,666,1,50
100,396.9,4.906,11.1081,1.1742,18.1,34.77,0.668,20.2,24,0,666,0,13.8
100,396.9,4.138,18.4982,1.137,18.1,37.97,0.668,20.2,24,0,666,0,13.8
97.9,396.9,7.313,19.6091,1.3163,18.1,13.44,0.671,20.2,24,0,666,0,15
93.3,363.02,6.649,15.288,1.3449,18.1,23.24,0.671,20.2,24,0,666,0,13.9
98.8,396.9,6.794,9.82349,1.358,18.1,21.24,0.671,20.2,24,0,666,0,13.3
96.2,396.9,6.38,23.6482,1.3861,18.1,23.69,0.671,20.2,24,0,666,0,13.1
100,393.74,6.223,17.8667,1.3861,18.1,21.78,0.671,20.2,24,0,666,0,10.2
91.9,396.9,6.968,88.9762,1.4165,18.1,17.21,0.671,20.2,24,0,666,0,10.4
99.1,396.9,6.545,15.8744,1.5192,18.1,21.08,0.671,20.2,24,0,666,0,10.9
100,396.9,5.536,9.18702,1.5804,18.1,23.6,0.7,20.2,24,0,666,0,11.3
100,396.9,5.52,7.99248,1.5331,18.1,24.56,0.7,20.2,24,0,666,0,12.3
91.2,285.83,4.368,20.0849,1.4395,18.1,30.63,0.7,20.2,24,0,666,0,8.8
98.1,396.9,5.277,16.8118,1.4261,18.1,30.81,0.7,20.2,24,0,666,0,7.2
100,396.9,4.652,24.3938,1.4672,18.1,28.28,0.7,20.2,24,0,666,0,10.5
89.5,396.9,5,22.5971,1.5184,18.1,31.99,0.7,20.2,24,0,666,0,7.4
100,372.92,4.88,14.3337,1.5895,18.1,30.62,0.7,20.2,24,0,666,0,10.2
98.9,396.9,5.39,8.15174,1.7281,18.1,20.85,0.7,20.2,24,0,666,0,11.5
97,394.43,5.713,6.96215,1.9265,18.1,17.11,0.7,20.2,24,0,666,0,15.1
82.5,378.38,6.051,5.29305,2.1678,18.1,18.76,0.7,20.2,24,0,666,0,23.2
97,396.9,5.036,11.5779,1.77,18.1,25.68,0.7,20.2,24,0,666,0,9.7
92.6,396.9,6.193,8.64476,1.7912,18.1,15.17,0.693,20.2,24,0,666,0,13.8
94.7,396.9,5.887,13.3598,1.7821,18.1,16.35,0.693,20.2,24,0,666,0,12.7
98.8,391.98,6.471,8.71675,1.7257,18.1,17.12,0.693,20.2,24,0,666,0,13.1
96,396.9,6.405,5.87205,1.6768,18.1,19.37,0.693,20.2,24,0,666,0,12.5
98.9,393.1,5.747,7.67202,1.6334,18.1,19.92,0.693,20.2,24,0,666,0,8.5
100,396.9,5.453,38.3518,1.4896,18.1,30.59,0.693,20.2,24,0,666,0,5
77.8,338.16,5.852,9.91655,1.5004,18.1,29.97,0.693,20.2,24,0,666,0,6.3
100,396.9,5.987,25.0461,1.5888,18.1,26.77,0.693,20.2,24,0,666,0,5.6
100,396.9,6.343,14.2362,1.5741,18.1,20.32,0.693,20.2,24,0,666,0,7.2
100,376.11,6.404,9.59571,1.639,18.1,20.31,0.693,20.2,24,0,666,0,12.1
96,396.9,5.349,24.8017,1.7028,18.1,19.77,0.693,20.2,24,0,666,0,8.3
85.4,329.46,5.531,41.5292,1.6074,18.1,27.38,0.693,20.2,24,0,666,0,8.5
100,384.97,5.683,67.9208,1.4254,18.1,22.98,0.693,20.2,24,0,666,0,5
100,370.22,4.138,20.7162,1.1781,18.1,23.34,0.659,20.2,24,0,666,0,11.9
100,332.09,5.608,11.9511,1.2852,18.1,12.13,0.659,20.2,24,0,666,0,27.9
97.9,314.64,5.617,7.40389,1.4547,18.1,26.4,0.597,20.2,24,0,666,0,17.2
100,179.36,6.852,14.4383,1.4655,18.1,19.78,0.597,20.2,24,0,666,0,27.5
100,2.6,5.757,51.1358,1.413,18.1,10.11,0.597,20.2,24,0,666,0,15
100,35.05,6.657,14.0507,1.5275,18.1,21.22,0.597,20.2,24,0,666,0,17.2
100,28.79,4.628,18.811,1.5539,18.1,34.37,0.597,20.2,24,0,666,0,17.9
100,210.97,5.155,28.6558,1.5894,18.1,20.08,0.597,20.2,24,0,666,0,16.3
100,88.27,4.519,45.7461,1.6582,18.1,36.98,0.693,20.2,24,0,666,0,7
100,27.25,6.434,18.0846,1.8347,18.1,29.05,0.679,20.2,24,0,666,0,7.2
90.8,21.57,6.782,10.8342,1.8195,18.1,25.79,0.679,20.2,24,0,666,0,7.5
89.1,127.36,5.304,25.9406,1.6475,18.1,26.64,0.679,20.2,24,0,666,0,10.4
100,16.45,5.957,73.5341,1.8026,18.1,20.62,0.679,20.2,24,0,666,0,8.8
76.5,48.45,6.824,11.8123,1.794,18.1,22.74,0.718,20.2,24,0,666,0,8.4
100,318.75,6.411,11.0874,1.8589,18.1,15.02,0.718,20.2,24,0,666,0,16.7
95.3,319.98,6.006,7.02259,1.8746,18.1,15.7,0.718,20.2,24,0,666,0,14.2
87.6,291.55,5.648,12.0482,1.9512,18.1,14.1,0.614,20.2,24,0,666,0,20.8
85.1,2.52,6.103,7.05042,2.0218,18.1,23.29,0.614,20.2,24,0,666,0,13.4
70.6,3.65,5.565,8.79212,2.0635,18.1,17.16,0.584,20.2,24,0,666,0,11.7
95.4,7.68,5.896,15.8603,1.9096,18.1,24.39,0.679,20.2,24,0,666,0,8.3
59.7,24.65,5.837,12.2472,1.9976,18.1,15.69,0.584,20.2,24,0,666,0,10.2
78.7,18.82,6.202,37.6619,1.8629,18.1,14.52,0.679,20.2,24,0,666,0,10.9
78.1,96.73,6.193,7.36711,1.9356,18.1,21.52,0.679,20.2,24,0,666,0,11
95.6,60.72,6.38,9.33889,1.9682,18.1,24.08,0.679,20.2,24,0,666,0,9.5
86.1,83.45,6.348,8.49213,2.0527,18.1,17.64,0.584,20.2,24,0,666,0,14.5
94.3,81.33,6.833,10.0623,2.0882,18.1,19.69,0.584,20.2,24,0,666,0,14.1
74.8,97.95,6.425,6.44405,2.2004,18.1,12.03,0.584,20.2,24,0,666,0,16.1
87.9,100.19,6.436,5.58107,2.3158,18.1,16.22,0.713,20.2,24,0,666,0,14.3
95,100.63,6.208,13.9134,2.2222,18.1,15.17,0.713,20.2,24,0,666,0,11.7
94.6,109.85,6.629,11.1604,2.1247,18.1,23.27,0.74,20.2,24,0,666,0,13.4
93.3,27.49,6.461,14.4208,2.0026,18.1,18.05,0.74,20.2,24,0,666,0,9.6
100,9.32,6.152,15.1772,1.9142,18.1,26.45,0.74,20.2,24,0,666,0,8.7
87.9,68.95,5.935,13.6781,1.8206,18.1,34.02,0.74,20.2,24,0,666,0,8.4
93.9,396.9,5.627,9.39063,1.8172,18.1,22.88,0.74,20.2,24,0,666,0,12.8
92.4,391.45,5.818,22.0511,1.8662,18.1,22.11,0.74,20.2,24,0,666,0,10.5
97.2,385.96,6.406,9.72418,2.0651,18.1,19.52,0.74,20.2,24,0,666,0,17.1
100,395.69,6.219,5.66637,2.0048,18.1,16.59,0.74,20.2,24,0,666,0,18.4
100,386.73,6.485,9.96654,1.9784,18.1,18.85,0.74,20.2,24,0,666,0,15.4
96.6,240.52,5.854,12.8023,1.8956,18.1,23.79,0.74,20.2,24,0,666,0,10.8
94.8,43.06,6.459,10.6718,1.9879,18.1,23.98,0.74,20.2,24,0,666,0,11.8
96.4,318.01,6.341,6.28807,2.072,18.1,17.79,0.74,20.2,24,0,666,0,14.9
96.6,388.52,6.251,9.92485,2.198,18.1,16.44,0.74,20.2,24,0,666,0,12.6
98.7,396.9,6.185,9.32909,2.2616,18.1,18.13,0.713,20.2,24,0,666,0,14.1
98.3,304.21,6.417,7.52601,2.185,18.1,19.31,0.713,20.2,24,0,666,0,13
92.6,0.32,6.749,6.71772,2.3236,18.1,17.44,0.713,20.2,24,0,666,0,13.4
98.2,355.29,6.655,5.44114,2.3552,18.1,17.73,0.713,20.2,24,0,666,0,15.2
91.8,385.09,6.297,5.09017,2.3682,18.1,17.27,0.713,20.2,24,0,666,0,16.1
99.3,375.87,7.393,8.24809,2.4527,18.1,16.74,0.713,20.2,24,0,666,0,17.8
94.1,6.68,6.728,9.51363,2.4961,18.1,18.71,0.713,20.2,24,0,666,0,14.9
86.5,50.92,6.525,4.75237,2.4358,18.1,18.13,0.713,20.2,24,0,666,0,14.1
87.9,10.48,5.976,4.66883,2.5806,18.1,19.01,0.713,20.2,24,0,666,0,12.7
80.3,3.5,5.936,8.20058,2.7792,18.1,16.94,0.713,20.2,24,0,666,0,13.5
83.7,272.21,6.301,7.75223,2.7831,18.1,16.23,0.713,20.2,24,0,666,0,14.9
84.4,396.9,6.081,6.80117,2.7175,18.1,14.7,0.713,20.2,24,0,666,0,20
90,255.23,6.701,4.81213,2.5975,18.1,16.42,0.713,20.2,24,0,666,0,16.4
88.4,391.43,6.376,3.69311,2.5671,18.1,14.65,0.713,20.2,24,0,666,0,17.7
83,396.9,6.317,6.65492,2.7344,18.1,13.99,0.713,20.2,24,0,666,0,19.5
89.9,393.82,6.513,5.82115,2.8016,18.1,10.29,0.713,20.2,24,0,666,0,20.2
65.4,396.9,6.209,7.83932,2.9634,18.1,13.22,0.655,20.2,24,0,666,0,21.4
48.2,334.4,5.759,3.1636,3.0665,18.1,14.13,0.655,20.2,24,0,666,0,19.9
84.7,22.01,5.952,3.77498,2.8715,18.1,17.15,0.655,20.2,24,0,666,0,19
94.5,331.29,6.003,4.42228,2.5403,18.1,21.32,0.584,20.2,24,0,666,0,19.1
71,368.74,5.926,15.5757,2.9084,18.1,18.13,0.58,20.2,24,0,666,0,19.1
56.7,396.9,5.713,13.0751,2.8237,18.1,14.76,0.58,20.2,24,0,666,0,20.1
84,396.9,6.167,4.34879,3.0334,18.1,16.29,0.58,20.2,24,0,666,0,19.9
90.7,395.33,6.229,4.03841,3.0993,18.1,12.87,0.532,20.2,24,0,666,0,19.6
75,393.37,6.437,3.56868,2.8965,18.1,14.36,0.58,20.2,24,0,666,0,23.2
67.6,374.68,6.98,4.64689,2.5329,18.1,11.66,0.614,20.2,24,0,666,0,29.8
95.4,352.58,5.427,8.05579,2.4298,18.1,18.14,0.584,20.2,24,0,666,0,13.8
97.4,302.76,6.162,6.39312,2.206,18.1,24.1,0.584,20.2,24,0,666,0,13.3
93.6,396.21,6.484,4.87141,2.3053,18.1,18.68,0.614,20.2,24,0,666,0,16.7
97.3,349.48,5.304,15.0234,2.1007,18.1,24.91,0.614,20.2,24,0,666,0,12
96.7,379.7,6.185,10.233,2.1705,18.1,18.03,0.614,20.2,24,0,666,0,14.6
88,383.32,6.229,14.3337,1.9512,18.1,13.11,0.614,20.2,24,0,666,0,21.4
64.7,396.9,6.242,5.82401,3.4242,18.1,10.74,0.532,20.2,24,0,666,0,23
74.9,393.07,6.75,5.70818,3.3317,18.1,7.74,0.532,20.2,24,0,666,0,23.7
77,395.28,7.061,5.73116,3.4106,18.1,7.01,0.532,20.2,24,0,666,0,25
40.3,392.92,5.762,2.81838,4.0983,18.1,10.42,0.532,20.2,24,0,666,0,21.8
41.9,370.73,5.871,2.37857,3.724,18.1,13.34,0.583,20.2,24,0,666,0,20.6
51.9,388.62,6.312,3.67367,3.9917,18.1,10.58,0.583,20.2,24,0,666,0,21.2
79.8,392.68,6.114,5.69175,3.5459,18.1,14.98,0.583,20.2,24,0,666,0,19.1
53.2,388.22,5.905,4.83567,3.1523,18.1,11.45,0.583,20.2,24,0,666,0,20.6
92.7,395.09,5.454,0.15086,1.8209,27.74,18.06,0.609,20.1,4,0,711,0,15.2
98.3,344.05,5.414,0.18337,1.7554,27.74,23.97,0.609,20.1,4,0,711,0,7
98,318.43,5.093,0.20746,1.8226,27.74,29.68,0.609,20.1,4,0,711,0,8.1
98.8,390.11,5.983,0.10574,1.8681,27.74,18.07,0.609,20.1,4,0,711,0,13.6
83.5,396.9,5.983,0.11132,2.1099,27.74,13.35,0.609,20.1,4,0,711,0,20.1
54,396.9,5.707,0.17331,2.3817,9.69,12.01,0.585,19.2,6,0,391,0,21.8
42.6,396.9,5.926,0.27957,2.3817,9.69,13.59,0.585,19.2,6,0,391,0,24.5
28.8,393.29,5.67,0.17899,2.7986,9.69,17.6,0.585,19.2,6,0,391,0,23.1
72.9,396.9,5.39,0.2896,2.7986,9.69,21.14,0.585,19.2,6,0,391,0,19.7
70.6,396.9,5.794,0.26838,2.8927,9.69,14.1,0.585,19.2,6,0,391,0,18.3
65.3,396.9,6.019,0.23912,2.4091,9.69,12.92,0.585,19.2,6,0,391,0,21.2
73.5,395.77,5.569,0.17783,2.3999,9.69,15.1,0.585,19.2,6,0,391,0,17.5
79.7,396.9,6.027,0.22438,2.4982,9.69,14.33,0.585,19.2,6,0,391,0,16.8
69.1,391.99,6.593,0.06263,2.4786,11.93,9.67,0.573,21,1,0,273,0,22.4
76.7,396.9,6.12,0.04527,2.2875,11.93,9.08,0.573,21,1,0,273,0,20.6
91,396.9,6.976,0.06076,2.1675,11.93,5.64,0.573,21,1,0,273,0,23.9
89.3,393.45,6.794,0.10959,2.3889,11.93,6.48,0.573,21,1,0,273,0,22
80.8,396.9,6.03,0.04741,2.505,11.93,7.88,0.573,21,1,0,273,0,11.9
